Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J6         JST_XH-2_-__Right_angle_-SMD   -1736.22mil   -971.142mil   -1736.22mil   -971.142mil  -1775.591mil   -849.095mil  T        270.00 JST XH 2 SMD RIGHT ANGLE
J9         JST_XH-2_-__Right_angle_-SMD    1736.22mil   -357.402mil    1736.22mil   -357.402mil   1775.591mil   -479.449mil  T         90.00 JST XH 2 SMD RIGHT ANGLE
J10        JST_XH-2_-__Right_angle_-SMD    1736.22mil    256.339mil    1736.22mil    256.339mil   1775.591mil    134.291mil  T         90.00 JST XH 2 SMD RIGHT ANGLE
J14        JST_XH-3_RIGHT_ANGLE    1736.22mil     921.26mil    1736.22mil     921.26mil   1775.591mil    1092.52mil  T         90.00 JST 3          
Q2         SOT23              616.142mil   -787.402mil    616.142mil   -787.402mil    581.299mil       -750mil  T        360.00 DMN3404L-7     
Q3         SOT23             1144.685mil   1139.764mil   1144.685mil   1139.764mil   1182.087mil   1174.606mil  T        270.00 DMN3404L-7     
R23        0402               600.394mil   -685.039mil    600.394mil   -685.039mil    620.079mil   -685.039mil  T        180.00 10K            
R24        0402                493.11mil   -816.929mil     493.11mil   -816.929mil     493.11mil   -797.244mil  T        270.00 DNP            
R28        0402              1245.079mil   1155.512mil   1245.079mil   1155.512mil   1245.079mil   1135.827mil  T         90.00 10K            
V26        0402               827.756mil  -1019.685mil    827.756mil  -1019.685mil    808.071mil  -1019.685mil  T        360.00 EZJ-Z0V650DA   
J8         JST_XH-2_-__Right_angle_-SMD    1736.22mil   -971.142mil    1736.22mil   -971.142mil   1775.591mil  -1093.189mil  T         90.00 JST XH 2 SMD RIGHT ANGLE
V30        0402              1412.402mil    1039.37mil   1412.402mil    1039.37mil   1412.402mil   1019.685mil  T         90.00 EZJ-Z0V650DA   
J12        JST_XH-3_RIGHT_ANGLE    709.646mil   -1342.52mil    709.646mil   -1342.52mil    880.905mil   -1381.89mil  T          0.00 JST 3          
J11        PJ-036BH-SMT-TR          0mil  -1201.772mil          0mil   -1303.15mil    240.157mil  -1082.677mil  T         90.00 BARREL         

